Artist,Genres,Popularity
Oz Noy,"jazz fusion, metal guitar",28
Mötley Crüe,"album rock, alternative metal, glam metal, hard rock, metal, rock, sleaze rock",70
John Mayer,"neo mellow, singer-songwriter",76
Charli Adams,nashville singer-songwriter,34
Sara Bareilles,"acoustic pop, ectofolk, lilith, neo mellow, pop rock, post-teen pop",64
SUGR?,,35
Ingrid Michaelson,"acoustic pop, ectofolk, lilith, neo mellow",58
O-Z,,3
Trevor Hall,"high vibe, south carolina indie",58
All Time Low,"modern rock, neon pop punk, pop emo, pop punk",68
BIZZY,singer-songwriter pop,40
Jason Mraz,"acoustic pop, dance pop, neo mellow, pop",72
Foreigner,"album rock, classic rock, glam metal, hard rock, heartland rock, mellow gold, rock, soft rock",69
Boyz II Men,"boy band, contemporary r&b, new jack swing, r&b, urban contemporary",65
Phillip Phillips,"folk-pop, neo mellow, pop rock",61
Paramore,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",77
Hunter Hayes,"contemporary country, country, country road, modern country rock",55
Stevie Wonder,"motown, soul",75
